,,Mag Size,Reload,RPM,RPS,DPR,TPS,DPS,DPS w/ Reload,Full Mag DMG,Full Mag DMG w/ HS,Headshot Multi,DPS w/ HS,DPS w/ HS & Reload,DMG Falloff,,,RPS,Rounds per second
,Light Class ,,,,,,,,,,,,,,,Light Class ,,DPR,Damage per round
,Dagger,1.0,-,-,-,50.0,-,-,-,-,-,1.0,-,-,-,Dagger,,TPS,Time per shot
,LH1,15.0,2.7,300.0,5.0,49.0,0.2,245.0,128.95,735.0,1470.0,2.0,490.0,257.89,>120m,LH1,,DPS,Damager per second
,M11,40.0,1.7,1000.0,16.7,16.0,0.06,266.7,156.10,640.0,960.0,1.5,400.0,234.15,15m,M11,,HS,Headshot
,SH1900,2.0,2.5,100.0,1.7,150.0,0.6,250.0,81.08,300.0,300.0,1.0,250.0,81.08,-,SH1900,15 pellets * 10 dmg,,
,SR-84,6.0,3.0,50.0,0.8,115.0,1.2,95.8,67.65,690.0,1380.0,2.0,191.7,135.29,>120m,SR-84,,Sources,
,Sword,1.0,-,-,-,74.0,-,-,-,-,-,1.0,-,-,-,Sword,,https://docs.google.com/spreadsheets/d/11wA3KDdLcd_YY4yCKsT1E7HqxNdBF2XaMWwYay9JExM/edit?pli=1#gid=534624485,
,Throwing Knives,1.0,-,140.0,2.3,60.0,0.429,140.0,-,60.0,90.0,1.5,210.0,-,>50m,Throwing Knives,,https://www.thefinals.wiki/wiki/Main_Page,
,V9S,20.0,1.3,425.0,7.1,36.0,0.141,255.0,174.61,720.0,1080.0,1.5,382.5,261.91,15m,V9S,,https://docs.google.com/spreadsheets/d/16t26Mavr7ajBmnD80kay_aM036LaxdXy/edit#gid=213460420,
,XP-54,30.0,2.7,850.0,14.2,18.0,0.071,255.0,112.09,540.0,810.0,1.5,382.5,168.13,25m,XP-54,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,Mag Size,Reload,RPM,RPS,DPR,TPS,DPS,DPS w/ Reload,Full Mag DMG,Full Mag DMG w/ HS,Headshot Multi,DPS w/ HS,DPS w/ HS & Reload,DMG Falloff,,,,
,Medium Class,,,,,,,,,,,,,,,Medium Class,,,
,AKM,36.0,2.3,600.0,10.0,20.0,0.1,200.0,122.03,720.0,1080.0,1.5,300.0,183.05,>120m,AKM,,,
,CL-40,4.0,2.3,80.0,1.3,110.0,0.75,146.7,83.02,440.0,440.0,1.0,146.7,83.02,-,CL-40,,,
,FCAR,20.0,2.0,540.0,9.0,25.0,0.111,225.0,118.42,500.0,750.0,1.5,337.5,177.63,>120m,FCAR,,,
,Model 1887,6.0,3.0,75.0,1.3,128.0,0.8,160.0,98.46,768.0,768.0,1.0,160.0,98.46,-,Model 1887,8 pellets * 16 dmg,,
,R .357,6.0,2.2,150.0,2.5,74.0,0.4,185.0,96.52,444.0,888.0,2.0,370.0,193.04,23m,R .357,,,
,Riot Shield ,1.0,-,66.7,1.1,84.0,0.9,-,-,84.0,84.0,1.0,-,-,-,Riot Shield ,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,Mag Size,Reload,RPM,RPS,DPR,TPS,DPS,DPS w/ Reload,Full Mag DMG,Full Mag DMG w/ HS,Headshot Multi,DPS w/ HS,DPS w/ HS & Reload,DMG Falloff,,,,
,Heavy Class ,,,,,,,,,,,,,,,Heavy Class ,,,
,Flamethrower,30.0,3.5,170.0,2.8,30.0,0.353,85.0,63.88,900.0,900.0,1.0,85.0,63.88,-,Flamethrower,,,
,Lewis Gun,47.0,3.5,500.0,8.3,25.0,0.12,208.3,128.56,1175.0,1762.5,1.5,312.5,192.83,>120m,Lewis Gun,,,
,M60,70.0,3.5,570.0,9.5,22.0,0.105,209.0,141.69,1540.0,2310.0,1.5,313.5,212.54,30m,M60,,,
,MGL32,6.0,3.1,-,-,83.0,-,-,-,498.0,498.0,1.0,-,-,-,MGL32,,,
,SA1216,16.0,3.0,225.0,3.8,91.0,0.267,341.3,200.37,1456.0,1456.0,1.0,341.3,200.37,-,SA1216,13 pellets * 7 dmg,,
,Sledgehammer,1.0,-,-,-,115.0,-,-,-,115.0,115.0,1.0,-,-,-,Sledgehammer,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,TTK Charts,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,BODY SHOTS,,,,,,,,HEADSHOTS,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
