M11,40,16,24,1020,2,light,
SR-84,6,115,230,50,3.1,light,
Throwing Knives,1,60,90,60,0.6,light,
Dagger,1,50,320,320,0,light,
LH1,15,48,96,280,2.8,light,
SH1900,2,195,195,180,2.7,light,
Sword,1,74,140,120,0,light,
V9S,20,40,60,360,1.3,light,
XP-54,34,16,24,280,2.7,light,
93R,21,28,42,220,1.2,light,
AKM,32,20,1.5,615,2.6,medium,
Pike,12,50,1.5,200,2.6,medium,
Model 1887,6,117,1,72,4,medium,
R.357,6,74,2,130,2.5,medium,
CL-40,5,100,1,72,3,medium,
FCAR,25,22,1.5,540,2,medium,
Riot Shield,1,90,1,100,3.1,medium,
Dual Blades,1,100,1,100,0,medium,
Cerberus 12GA,3,108,1,100,0,medium,
Lewis Gun,47,22,1.5,510,3.5,heavy,
M60,70,19,1.5,580,3.5,heavy,
SA1216,16,78,1,200,3,heavy,
Spear,1,65,1.61538462,150,0,heavy,
Sledgehammer,1,115,1.73913043,50,0,heavy,
Flamethrower,30,30,1,170,3.5,heavy,
MGL32,6,83,1,90,2.8,heavy,
Shak-50,20,30,1.5,420,3.2,heavy,
KS-23,6,100,1,73,4.36,heavy,
.50 Akimbo,14,44,2,230,3,heavy,
