,Body Damage,Head Damage,Rate of Fire (RPM),Magazine Size,Damage Per Magazine,Empty Reload Time (seconds),Tactical Reload Time (seconds),Shots Per Burst,Delay Until Next Burst (seconds),TTK vs. Light @ Body (seconds),STK (L),TTK vs. Medium @ Body (seconds),STK (M),TTK vs. Heavy @ Body (seconds),STK (H),TTK vs. Light @ Head (seconds),STK (L),TTK vs. Medium @ Head (seconds),STK (M),TTK vs. Heavy @ Head (seconds),STK (H),Damage Dropoff Minimum Range,Damage Dropoff Maximum Range,Damage Dropoff Modifier @ Max Range,Notes
LIGHT,,,,,,,,,,,,,,,,,,,,,,,,,
93R,26,39,1000,24,624,1.75,1.45,3,0.275,0.52,6,1.19,10,1.64,14,0.40,4,0.79,7,0.91,9,32m,42m,~40%,
ARN-220,17,25.5,725,"60
(30)","1020
(510)","2.80
(0.80)",2.45,-,-,0.66,9,1.16,15,1.66,21,0.41,6,0.74,10,1.08,14,37.5m,45m,~72%,"Quick reload is 0.80s long. It triggers when you have emptied a magazine, and when you have a ""quick magazine"" available (indicated by the bars near your ammo count). Otherwise, a normal reload will occur."
Dagger,60,-,-,-,-,-,-,-,-,-,3,-,5,-,7,-,-,-,-,-,-,-,-,-,
Dagger (Alt. w/ Backstab),320*,-,-,-,-,-,-,-,-,-,1,-,1,-,2,-,-,-,-,-,-,-,-,-,Deals 75 damage without backstab.  Cannot hit multiple targets in one stab.  Backstab angle is 150 degrees.  Has an 800ms wind-up time.
LH1,44,88,280,15,660,2.85,1.95,-,-,0.67,4,1.11,6,1.56,8,0.22,2,0.44,3,0.67,4,50m,55m,~72%,
M11,16,24,1000,40,640,1.85,1.55,-,-,0.54,10,0.90,16,1.26,22,0.36,7,0.60,11,0.84,15,10m,17.5m,~52%,
M26 Matter,121,-,85,8,968,2.45,2.05,-,-,0.71,2,1.41,3,1.41,3,-,-,-,-,-,-,15m,25m,~64%,
Recurve Bow (uncharged),60,90,78,-,-,-,-,-,-,1.54,3,3.08,5,3.85,6,0.77,2,1.54,3,2.31,4,-,-,-,Takes ~160ms to fire the 1st shot. Various methods of optimizing TTK: https://i.imgur.com/DLfa7hv.jpeg (qm = quick melee). TTK does not account for projectile travel time.
Recurve Bow (charged),124,186,48,-,-,-,-,-,-,1.25,2,2.50,3,2.50,3,0.00,1,1.25,2,1.25,2,-,-,-,Takes ~640ms to charge a shot. Various methods of optimizing TTK: https://i.imgur.com/DLfa7hv.jpeg (qm = quick melee). TTK does not account for projectile travel time.  Damage increases from 60 to 124 (continuously) based on how long this weapon was charged.
SH1900,195,-,80,2,390,2.60,2.20,-,-,0.00,1,0.75,2,0.75,2,-,-,-,-,-,-,-,-,-,
SR-84,118,236,40,6,708,3.35,1.95,-,-,1.30,2,2.61,3,2.61,3,0.00,1,1.30,2,1.30,2,80m,100m,~75%,"Bullets are hitscan up until 40m, and then converted into projectiles afterwards."
Sword,88,-,-,-,-,-,-,-,-,-,2,-,3,-,4,-,-,-,-,-,-,-,-,-,
Sword (Alt.),120,-,-,-,-,-,-,-,-,-,2,-,3,-,3,-,,-,,-,,-,-,-,
Throwing Knives,60,90,545.45,-,-,-,-,2,0.59,0.78,3,1.56,5,1.67,6,0.11,2,0.78,3,0.89,4,-,-,-,"TTK does not account for projectile travel time, or the initial delay when throwing the knives.  It represents more of a ""time-to-death"" calculation, if anything."
Throwing Knives (Alt.),140,210,27.7,-,-,-,-,-,-,2.17,2,2.17,2,4.33,3,0.00,1,2.17,2,2.17,2,-,-,-,"TTK does not account for projectile travel time, or the initial delay when throwing the knives.  It represents more of a ""time-to-death"" calculation, if anything."
V9S,40,60,360,20,800,1.50,1.25,-,-,0.50,4,1.00,7,1.33,9,0.33,3,0.67,5,0.83,6,10m,15m,~67%,
XP-54,16,24,860,34,544,2.50,2.25,-,-,0.63,10,1.05,16,1.47,22,0.42,7,0.70,11,0.98,15,22.5m,32.5m,~52%,
MEDIUM,,,,,,,,,,,,,,,,,,,,,,,,,
AKM,20,30,600,32,640,2.35,2.35,-,-,0.70,8,1.20,13,1.70,18,0.40,5,0.80,9,1.10,12,30m,37.5m,~55%,
CB-01 Repeater,88,132,,8,704,5.05,(varies),-,-,0.78,2,1.56,3,2.34,4,0.78,2,0.78,2,1.56,3,40m,45m,~69%,Firing the weapon will cancel the reload animation.
Cerberus 12GA,99*,-,100,3,297*,2.95,(varies),-,-,0.60*,2*,1.20*,3*,(see notes)*,4*,-,-,-,-,-,-,10m,17.5m,~63%,"Deals 99 damage on hit (9 x 11 pellets), and then an extra ~31 damage from the fire DoT that last for ~2 seconds.  DoT does not stack, and it resets on every hit.  With the DoT, it takes 2 hits to kill a Light (or 1 hit + quick-melee), 3 hits to kill a Medium, and 4 hits to kill a Heavy."
