,Body Damage,Head Damage,Rate of Fire (RPM),Magazine Size,Damage Per Magazine,Empty Reload Time (seconds),Tactical Reload Time (seconds),Shots Per Burst,Delay Until Next Burst (seconds),TTK vs. Light @ Body (seconds),STK (L),TTK vs. Medium @ Body (seconds),STK (M),TTK vs. Heavy @ Body (seconds),STK (H),TTK vs. Light @ Head (seconds),STK (L),TTK vs. Medium @ Head (seconds),STK (M),TTK vs. Heavy @ Head (seconds),STK (H),Damage Dropoff Minimum Range,Damage Dropoff Maximum Range,Damage Dropoff Modifier @ Max Range,Notes
LIGHT,,,,,,,,,,,,,,,,,,,,,,,,,
93R,28,42,220,21,588,1.2,-,-,-,-,6,-,9,-,13,-,4,-,6,-,9,-,-,-,"Source has a single unlabelled reload column; kind (tactical vs empty) unknown.  Sheet's rate column reads 220, while both neighbouring versions agree on 1020 and 1000. Treated as a column/unit error: kept for reference, excluded from derived timings and from the change history."
Dagger,50,-,-,1,50,-,-,-,-,-,3,-,5,-,7,-,-,-,-,-,-,-,-,-,"Source column 4 holds 320 for this melee weapon — alt-attack damage, not head damage. Dropped.  Source RPM column holds 320 for this melee weapon — swing rate, not RPM. Dropped.  Source reload column is 0 — treated as missing."
LH1,48,96,280,15,720,2.8,-,-,-,0.64,4,1.07,6,1.50,8,0.21,2,0.43,3,0.64,4,-,-,-,Source has a single unlabelled reload column; kind (tactical vs empty) unknown.
M11,16,24,1020,40,640,2,-,-,-,0.53,10,0.88,16,1.24,22,0.35,7,0.59,11,0.82,15,-,-,-,Source has a single unlabelled reload column; kind (tactical vs empty) unknown.
SH1900,195,195,180,2,390,2.7,-,-,-,-,1,-,2,-,2,-,1,-,2,-,2,-,-,-,"Source has a single unlabelled reload column; kind (tactical vs empty) unknown.  Sheet's rate column reads 180, while both neighbouring versions agree on 100 and 80. Treated as a column/unit error: kept for reference, excluded from derived timings and from the change history."
SR-84,115,230,50,6,690,3.1,-,-,-,1.20,2,2.40,3,3.60,4,0.00,1,1.20,2,1.20,2,-,-,-,Source has a single unlabelled reload column; kind (tactical vs empty) unknown.
Sword,74,-,-,1,74,-,-,-,-,-,3,-,4,-,5,-,-,-,-,-,-,-,-,-,"Source column 4 holds 140 for this melee weapon — alt-attack damage, not head damage. Dropped.  Source RPM column holds 120 for this melee weapon — swing rate, not RPM. Dropped.  Source reload column is 0 — treated as missing."
Throwing Knives,60,90,60,1,60,0.6,-,-,-,1.20,3,2.40,5,3.00,6,0.60,2,1.20,3,1.80,4,-,-,-,"Source has a single unlabelled reload column; kind (tactical vs empty) unknown.  Sheet's rate column reads 60, more than 30% away from both neighbouring versions (400, 545.45) — which do not agree with each other either. Kept and used, but any change derived from it is low confidence."
V9S,40,60,360,20,800,1.3,-,-,-,0.50,4,1.00,7,1.33,9,0.33,3,0.67,5,0.83,6,-,-,-,Source has a single unlabelled reload column; kind (tactical vs empty) unknown.
XP-54,16,24,280,34,544,2.7,-,-,-,-,10,-,16,-,22,-,7,-,11,-,15,-,-,-,"Source has a single unlabelled reload column; kind (tactical vs empty) unknown.  Sheet's rate column reads 280, while both neighbouring versions agree on 850 and 860. Treated as a column/unit error: kept for reference, excluded from derived timings and from the change history."
MEDIUM,,,,,,,,,,,,,,,,,,,,,,,,,
AKM,20,30,615,32,640,2.6,-,-,-,0.68,8,1.17,13,1.66,18,0.39,5,0.78,9,1.07,12,-,-,-,Head damage derived from the sheet's 1.5x multiplier.  Source has a single unlabelled reload column; kind (tactical vs empty) unknown.
Cerberus 12GA,108,108,100,3,324,-,-,-,-,0.60,2,1.20,3,1.20,4,0.60,2,1.20,3,1.20,4,-,-,-,Head damage derived from the sheet's 1x multiplier.  Source reload column is 0 — treated as missing.
CL-40 (Direct),100,100,72,5,500,3,-,-,-,0.83,2,1.67,3,2.50,4,0.83,2,1.67,3,2.50,4,-,-,-,Head damage derived from the sheet's 1x multiplier.  Source has a single unlabelled reload column; kind (tactical vs empty) unknown.
Dual Blades,100,-,-,1,100,-,-,-,-,-,2,-,3,-,4,-,-,-,-,-,-,-,-,-,"Source column 4 holds 1 for this melee weapon — alt-attack damage, not head damage. Dropped.  Source RPM column holds 100 for this melee weapon — swing rate, not RPM. Dropped.  Source reload column is 0 — treated as missing."
FCAR,22,33,540,25,550,2,-,-,-,0.67,7,1.22,12,1.67,16,0.44,5,0.78,8,1.11,11,-,-,-,Head damage derived from the sheet's 1.5x multiplier.  Source has a single unlabelled reload column; kind (tactical vs empty) unknown.
Model 1887,117,117,72,6,702,4,-,-,-,0.83,2,1.67,3,1.67,3,0.83,2,1.67,3,1.67,3,-,-,-,Head damage derived from the sheet's 1x multiplier.  Source has a single unlabelled reload column; kind (tactical vs empty) unknown.
